Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS001_login,Chrome 128.0.0.0,Login Facebook,,30-08-2024 23:10:45,30-08-2024 23:11:14,28.371s,PASSED
,,,,,,,
Test Cases/TC001_negativeLogin_invalidPassword,Chrome 128.0.0.0,,,30-08-2024 23:10:45,30-08-2024 23:10:55,9.541s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,30-08-2024 23:10:46,30-08-2024 23:10:48,2.188s,PASSED
maximizeWindow(),Chrome 128.0.0.0,,,30-08-2024 23:10:48,30-08-2024 23:10:48,0.377s,PASSED
"navigateToUrl(""https://www.facebook.com/"")",Chrome 128.0.0.0,,,30-08-2024 23:10:48,30-08-2024 23:10:49,0.925s,PASSED
"setText(findTestObject(""Object Repository/login_page/emailOrPhonenumber_editText""), findTestData(""user_login"").getValue(1, 1))",Chrome 128.0.0.0,,,30-08-2024 23:10:49,30-08-2024 23:10:50,0.925s,PASSED
"setText(findTestObject(""Object Repository/login_page/password_editText""), findTestData(""user_login"").getValue(2, 1))",Chrome 128.0.0.0,,,30-08-2024 23:10:50,30-08-2024 23:10:51,0.753s,PASSED
"click(findTestObject(""Object Repository/login_page/login_button""))",Chrome 128.0.0.0,,,30-08-2024 23:10:51,30-08-2024 23:10:51,0.270s,PASSED
"verifyElementText(findTestObject(""login_page/errorLoginInvalidPassword_message""), findTestData(""user_login"").getValue(3, 1))",Chrome 128.0.0.0,,,30-08-2024 23:10:51,30-08-2024 23:10:55,3.897s,PASSED
closeBrowser(),Chrome 128.0.0.0,,,30-08-2024 23:10:55,30-08-2024 23:10:55,0.101s,PASSED
,,,,,,,
Test Cases/TC002_negativeLogin_invalidEmail,Chrome 128.0.0.0,,,30-08-2024 23:10:55,30-08-2024 23:11:01,5.558s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,30-08-2024 23:10:55,30-08-2024 23:10:56,0.707s,PASSED
maximizeWindow(),Chrome 128.0.0.0,,,30-08-2024 23:10:56,30-08-2024 23:10:56,0.336s,PASSED
"navigateToUrl(""https://www.facebook.com/"")",Chrome 128.0.0.0,,,30-08-2024 23:10:56,30-08-2024 23:10:57,0.835s,PASSED
"setText(findTestObject(""Object Repository/login_page/emailOrPhonenumber_editText""), findTestData(""user_login"").getValue(1, 2))",Chrome 128.0.0.0,,,30-08-2024 23:10:57,30-08-2024 23:10:57,0.576s,PASSED
"setText(findTestObject(""Object Repository/login_page/password_editText""), findTestData(""user_login"").getValue(2, 2))",Chrome 128.0.0.0,,,30-08-2024 23:10:57,30-08-2024 23:10:58,0.718s,PASSED
"click(findTestObject(""Object Repository/login_page/login_button""))",Chrome 128.0.0.0,,,30-08-2024 23:10:58,30-08-2024 23:10:58,0.264s,PASSED
"verifyElementText(findTestObject(""login_page/errorLoginInvalidEmail_message""), findTestData(""user_login"").getValue(3, 2))",Chrome 128.0.0.0,,,30-08-2024 23:10:58,30-08-2024 23:11:00,1.982s,PASSED
closeBrowser(),Chrome 128.0.0.0,,,30-08-2024 23:11:00,30-08-2024 23:11:01,0.097s,PASSED
,,,,,,,
Test Cases/TC003_negativeLogin_emptyField,Chrome 128.0.0.0,,,30-08-2024 23:11:01,30-08-2024 23:11:06,5.853s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,30-08-2024 23:11:01,30-08-2024 23:11:01,0.636s,PASSED
maximizeWindow(),Chrome 128.0.0.0,,,30-08-2024 23:11:01,30-08-2024 23:11:02,0.332s,PASSED
"navigateToUrl(""https://www.facebook.com/"")",Chrome 128.0.0.0,,,30-08-2024 23:11:02,30-08-2024 23:11:03,1.156s,PASSED
"setText(findTestObject(""Object Repository/login_page/emailOrPhonenumber_editText""), findTestData(""user_login"").getValue(1, 3))",Chrome 128.0.0.0,,,30-08-2024 23:11:03,30-08-2024 23:11:03,0.614s,PASSED
"setText(findTestObject(""Object Repository/login_page/password_editText""), findTestData(""user_login"").getValue(2, 3))",Chrome 128.0.0.0,,,30-08-2024 23:11:03,30-08-2024 23:11:04,0.713s,PASSED
"click(findTestObject(""Object Repository/login_page/login_button""))",Chrome 128.0.0.0,,,30-08-2024 23:11:04,30-08-2024 23:11:04,0.262s,PASSED
"verifyElementText(findTestObject(""login_page/errorLoginInvalidEmail_message""), findTestData(""user_login"").getValue(3, 2))",Chrome 128.0.0.0,,,30-08-2024 23:11:04,30-08-2024 23:11:06,2.011s,PASSED
closeBrowser(),Chrome 128.0.0.0,,,30-08-2024 23:11:06,30-08-2024 23:11:06,0.092s,PASSED
,,,,,,,
Test Cases/TC004_positiveLoginWithEmail,Chrome 128.0.0.0,,,30-08-2024 23:11:06,30-08-2024 23:11:14,7.341s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,30-08-2024 23:11:06,30-08-2024 23:11:07,0.659s,PASSED
maximizeWindow(),Chrome 128.0.0.0,,,30-08-2024 23:11:07,30-08-2024 23:11:07,0.323s,PASSED
"navigateToUrl(""https://www.facebook.com/"")",Chrome 128.0.0.0,,,30-08-2024 23:11:07,30-08-2024 23:11:09,1.118s,PASSED
"setText(findTestObject(""Object Repository/login_page/emailOrPhonenumber_editText""), findTestData(""user_login"").getValue(1, 4))",Chrome 128.0.0.0,,,30-08-2024 23:11:09,30-08-2024 23:11:09,0.568s,PASSED
"setText(findTestObject(""Object Repository/login_page/password_editText""), findTestData(""user_login"").getValue(2, 4))",Chrome 128.0.0.0,,,30-08-2024 23:11:09,30-08-2024 23:11:10,0.714s,PASSED
"click(findTestObject(""Object Repository/login_page/login_button""))",Chrome 128.0.0.0,,,30-08-2024 23:11:10,30-08-2024 23:11:10,0.256s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/home_page/search_field""), 0)",Chrome 128.0.0.0,,,30-08-2024 23:11:10,30-08-2024 23:11:14,3.556s,PASSED
closeBrowser(),Chrome 128.0.0.0,,,30-08-2024 23:11:14,30-08-2024 23:11:14,0.104s,PASSED
